pl_name,hostname,sy_snum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
6 Lyn b,6 Lyn,1,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599,0.2734,-0.2734,5.60686,0.001085,-0.001085
61 Vir b,61 Vir,1,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.54052,0.0055701,-0.0055701
61 Vir c,61 Vir,1,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.54052,0.0055701,-0.0055701
61 Vir d,61 Vir,1,13h18m23.15s,199.596455,-18d18m56.79s,-18.3157745,8.50332,0.01737,-0.0173,4.54052,0.0055701,-0.0055701
7 CMa b,7 CMa,1,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,0.1648,-0.1648,3.67853,0.0041348,-0.0041348
7 CMa c,7 CMa,1,06h36m41.11s,99.171276,-19d15m22.25s,-19.2561808,19.8101,0.1648,-0.1648,3.67853,0.0041348,-0.0041348
70 Vir b,70 Vir,1,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011,0.056,-0.0557,4.76178,0.0044158,-0.0044158
75 Cet b,75 Cet,2,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,0.72365,-0.72365,5.09343,0.0039324,-0.0039324
75 Cet c,75 Cet,2,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613,0.72365,-0.72365,5.09343,0.0039324,-0.0039324
8 UMi b,8 UMi,1,14h56m48.40s,224.201685,+74d54m03.38s,74.9009379,162.552,0.651,-0.646,6.55896,0.000237,-0.000237
81 Cet b,81 Cet,1,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.26,1.222,-1.222,5.37588,0.0031065,-0.0031065
91 Aqr b,91 Aqr,3,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,0.51325,-0.51325,3.95311,0.008843,-0.008843
AB Aur b,AB Aur,1,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.127,1.526,-1.498,7.07854,0.001049,-0.001049
AB Pic b,AB Pic,1,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475,0.0735,-0.0733,8.8378,0.001332,-0.001332
AF Lep b,AF Lep,1,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564,0.0189,-0.0188,6.18644,0.0011395,-0.0011395
AU Mic b,AU Mic,1,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,7.84038,0.000731,-0.000731
AU Mic c,AU Mic,1,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,7.84038,0.000731,-0.000731
AU Mic d,AU Mic,1,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,9.7221,0.004625,-0.004625,7.84038,0.000731,-0.000731
