pl_name,hostname,sy_snum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
K2-338 b,K2-338,1,08h17m26.62s,124.3609294,+17d01m26.96s,17.0241557,156.951,0.602,-0.597,13.0455,0.000305,-0.000305
K2-339 b,K2-339,1,08h40m19.81s,130.082542,+18d41m34.46s,18.6929046,360.36,5.236,-5.236,14.3436,0.000523,-0.000523
K2-34 b,K2-34,1,08h30m18.89s,127.5787231,+22d14m09.31s,22.2359194,348.646,6.323,-6.106,11.4357,0.00091,-0.00091
K2-340 b,K2-340,1,08h31m44.96s,127.9373409,+19d04m28.51s,19.0745863,738.136,22.291,-21.043,14.1327,0.000206,-0.000206
K2-341 b,K2-341,1,08h41m59.33s,130.4971951,+19d54m59.89s,19.9166357,421.408,7.437,-7.189,12.5585,0.000162,-0.000162
K2-342 b,K2-342,1,08h52m29.26s,133.1218996,+21d14m19.25s,21.2386816,208.357,1.734,-1.706,11.0702,0.000543,-0.000543
K2-343 b,K2-343,1,08h56m48.52s,134.2021746,+21d30m09.68s,21.5026882,166.169,1.047,-1.047,15.1312,0.000291,-0.000291
K2-343 c,K2-343,1,08h56m48.52s,134.2021746,+21d30m09.68s,21.5026882,166.169,1.047,-1.047,15.1312,0.000291,-0.000291
K2-344 b,K2-344,1,09h05m26.76s,136.3614923,+21d40m06.92s,21.6685886,75.1691,0.30675,-0.30675,12.7423,0.000467,-0.000467
K2-345 b,K2-345,1,08h50m49.82s,132.7075876,+21d47m20.53s,21.7890367,162.408,0.893,-0.884,14.6951,0.000334,-0.000334
K2-346 b,K2-346,1,08h23m56.76s,125.9864854,+22d39m47.61s,22.663226,105.58,0.487,-0.482,11.6828,0.000434,-0.000434
K2-347 b,K2-347,1,08h25m29.44s,126.3726821,+23d17m50.66s,23.2974061,320.336,3.955,-3.862,14.8131,0.000386,-0.000386
K2-348 b,K2-348,1,08h43m30.80s,130.8783479,+24d25m22.64s,24.4229559,201.856,1.5,-1.479,12.3271,0.000129,-0.000129
K2-348 c,K2-348,1,08h43m30.80s,130.8783479,+24d25m22.64s,24.4229559,201.856,1.5,-1.479,12.3271,0.000129,-0.000129
K2-349 b,K2-349,1,13h16m23.92s,199.0996546,-14d26m41.08s,-14.4447454,453.567,7.121,-6.907,14.1826,0.000316,-0.000316
K2-35 b,K2-35,1,11h20m24.74s,170.1031027,+01d17m09.12s,1.2858679,252.596,2.4395,-2.4395,13.9152,0.000398,-0.000398
K2-35 c,K2-35,1,11h20m24.74s,170.1031027,+01d17m09.12s,1.2858679,252.596,2.4395,-2.4395,13.9152,0.000398,-0.000398
K2-350 b,K2-350,1,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.368,6.016,-5.875,13.3115,0.000352,-0.000352
K2-350 c,K2-350,1,13h36m08.52s,204.0355092,-14d00m33.31s,-14.0092516,489.368,6.016,-5.875,13.3115,0.000352,-0.000352
K2-351 b,K2-351,1,13h46m36.54s,206.6522408,-11d48m17.85s,-11.8049588,694.734,15.57,-14.914,13.9854,0.000371,-0.000371
K2-352 b,K2-352,1,09h21m46.84s,140.4451478,+18d28m10.66s,18.469628,176.051,1.895,-1.855,11.1147,0.000879,-0.000879
K2-352 c,K2-352,1,09h21m46.84s,140.4451478,+18d28m10.66s,18.469628,176.051,1.895,-1.855,11.1147,0.000879,-0.000879
K2-352 d,K2-352,1,09h21m46.84s,140.4451478,+18d28m10.66s,18.469628,176.051,1.895,-1.855,11.1147,0.000879,-0.000879
K2-353 b,K2-353,1,13h26m28.05s,201.6168564,-02d16m54.85s,-2.2819018,268.515,3.729,-3.629,12.0988,0.000231,-0.000231
K2-354 b,K2-354,1,08h36m31.18s,129.1299193,+10d08m49.98s,10.1472175,91.722,0.5223,-0.5164,14.3753,0.000488,-0.000488
K2-355 b,K2-355,1,08h18m34.23s,124.6426189,+13d30m10.01s,13.5027816,500.497,5.8405,-5.8405,13.5297,0.000195,-0.000195
K2-356 b,K2-356,1,08h33m17.26s,128.3219134,+13d39m40.95s,13.6613758,355.54,3.793,-3.714,13.148,0.000235,-0.000235
K2-357 b,K2-357,1,08h47m45.28s,131.9386628,+16d19m44.09s,16.3289144,517.687,9.232,-8.92,13.4792,0.000218,-0.000218
K2-358 b,K2-358,1,08h55m13.95s,133.8081054,+18d56m59.01s,18.9497263,480.307,6.8425,-6.8425,13.5733,0.000172,-0.000172
K2-36 b,K2-36,1,11h17m47.76s,169.4490102,+03d51m59.41s,3.8665038,109.749,0.615,-0.609,11.527,0.000904,-0.000904
K2-36 c,K2-36,1,11h17m47.76s,169.4490102,+03d51m59.41s,3.8665038,109.749,0.615,-0.609,11.527,0.000904,-0.000904
K2-365 b,K2-365,1,15h55m16.73s,238.8197061,-21d01m37.09s,-21.0269691,187.222,1.492,-1.47,11.5285,0.000501,-0.000501
K2-366 b,K2-366,1,16h14m43.22s,243.6800912,-19d20m48.78s,-19.3468837,185.947,5.318,-5.035,12.1351,0.00036,-0.00036
K2-367 b,K2-367,1,22h31m26.12s,337.8588454,-13d15m52.04s,-13.2644554,176.965,0.946,-0.936,13.3983,0.000497,-0.000497
K2-368 b,K2-368,1,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.608,1.273,-1.258,13.2207,0.000455,-0.000455
K2-368 c,K2-368,1,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.608,1.273,-1.258,13.2207,0.000455,-0.000455
K2-368 d,K2-368,1,22h10m32.58s,332.6357627,-11d09m58.02s,-11.1661157,206.608,1.273,-1.258,13.2207,0.000455,-0.000455
K2-369 b,K2-369,1,21h58m54.30s,329.7262534,-10d52m30.24s,-10.8750666,185.55,1.833,-1.798,11.3732,0.000608,-0.000608
K2-37 b,K2-37,1,16h13m48.23s,243.4509662,-24d47m13.39s,-24.7870527,179.943,1.603,-1.575,12.2573,0.00015,-0.00015
K2-37 c,K2-37,1,16h13m48.23s,243.4509662,-24d47m13.39s,-24.7870527,179.943,1.603,-1.575,12.2573,0.00015,-0.00015
K2-37 d,K2-37,1,16h13m48.23s,243.4509662,-24d47m13.39s,-24.7870527,179.943,1.603,-1.575,12.2573,0.00015,-0.00015
K2-370 b,K2-370,1,04h31m16.93s,67.8205302,+19d49m54.08s,19.8316901,144.202,1.198,-1.179,10.8824,0.000584,-0.000584
K2-371 b,K2-371,1,08h32m16.10s,128.0670932,+11d37m50.56s,11.6307099,442.813,6.909,-6.702,14.3938,0.000798,-0.000798
K2-372 b,K2-372,1,08h43m11.73s,130.7988719,+13d00m33.92s,13.0094226,463.88,5.478,-5.354,13.4436,0.00017,-0.00017
K2-373 b,K2-373,1,08h12m32.68s,123.1361518,+13d41m18.59s,13.6884986,229.567,2.114,-2.076,10.4244,0.000283,-0.000283
K2-374 b,K2-374,1,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.439,5.293,-5.144,12.6473,0.000177,-0.000177
K2-374 c,K2-374,1,09h09m31.08s,137.3794986,+16d21m21.00s,16.3558324,359.439,5.293,-5.144,12.6473,0.000177,-0.000177
K2-375 b,K2-375,1,08h42m00.32s,130.5013137,+20d21m33.48s,20.3593003,696.1,22.17,-20.865,12.9572,0.000247,-0.000247
K2-376 b,K2-376,1,08h50m52.64s,132.7193327,+25d02m17.10s,25.0380824,161.61,1.332,-1.31,10.2998,0.000203,-0.000203
K2-377 b,K2-377,1,13h31m35.49s,202.897887,-12d05m42.41s,-12.0951142,195.149,1.425,-1.406,13.5859,0.000388,-0.000388
K2-378 b,K2-378,1,13h40m38.32s,205.1596569,-11d07m02.04s,-11.1172332,687.973,19.924,-18.851,15.5122,0.000614,-0.000614
K2-379 b,K2-379,1,18h52m07.62s,283.0317641,-27d10m50.62s,-27.1807287,182.207,1.355,-1.336,12.8995,0.000709,-0.000709
K2-38 b,K2-38,1,16h00m07.99s,240.0333095,-23d11m21.91s,-23.1894196,192.69,2.669,-2.597,11.184,0.001015,-0.001015
K2-38 c,K2-38,1,16h00m07.99s,240.0333095,-23d11m21.91s,-23.1894196,192.69,2.669,-2.597,11.184,0.001015,-0.001015
K2-380 b,K2-380,1,18h53m44.31s,283.4346389,-26d32m19.43s,-26.5387308,249.303,2.941,-2.875,11.4419,0.000296,-0.000296
K2-381 b,K2-381,1,19h12m06.42s,288.0267612,-21d00m27.28s,-21.0075789,145.701,1.082,-1.067,12.6373,0.000252,-0.000252
K2-381 c,K2-381,1,19h12m06.42s,288.0267612,-21d00m27.28s,-21.0075789,145.701,1.082,-1.067,12.6373,0.000252,-0.000252
K2-381 d,K2-381,1,19h12m06.42s,288.0267612,-21d00m27.28s,-21.0075789,145.701,1.082,-1.067,12.6373,0.000252,-0.000252
K2-382 b,K2-382,1,19h09m39.01s,287.4125267,-19d37m36.96s,-19.6269336,278.412,3.995,-3.886,12.7667,0.000533,-0.000533
K2-383 b,K2-383,1,18h48m02.10s,282.008765,-18d22m46.49s,-18.3795798,203.788,2.404,-2.349,12.4429,0.000224,-0.000224
K2-384 b,K2-384,1,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.6603,0.7023,-0.6908,15.0276,0.000667,-0.000667
K2-384 c,K2-384,1,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.6603,0.7023,-0.6908,15.0276,0.000667,-0.000667
K2-384 d,K2-384,1,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.6603,0.7023,-0.6908,15.0276,0.000667,-0.000667
K2-384 e,K2-384,1,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.6603,0.7023,-0.6908,15.0276,0.000667,-0.000667
K2-384 f,K2-384,1,01h21m59.96s,20.4998403,+00d45m03.49s,0.7509701,82.6603,0.7023,-0.6908,15.0276,0.000667,-0.000667
K2-385 b,K2-385,1,00h50m27.38s,12.6140752,+05d52m16.52s,5.8712567,420.819,7.102,-6.873,14.3355,0.000259,-0.000259
K2-386 b,K2-386,1,01h13m12.00s,18.2999964,+07d00m46.91s,7.0130302,428.785,8.18,-7.885,12.9931,0.000387,-0.000387
K2-387 b,K2-387,1,01h17m46.04s,19.4418282,+11d22m06.57s,11.3684915,266.318,3.722,-3.722,15.4948,0.0006,-0.0006
K2-388 b,K2-388,1,23h30m51.34s,352.7139342,-11d04m38.48s,-11.0773564,290.495,4.305,-4.184,12.6357,0.00034,-0.00034
K2-389 b,K2-389,1,23h42m31.30s,355.6304152,-09d42m48.89s,-9.7135814,259.208,2.95,-2.885,11.5697,0.00034,-0.00034
K2-389 c,K2-389,1,23h42m31.30s,355.6304152,-09d42m48.89s,-9.7135814,259.208,2.95,-2.885,11.5697,0.00034,-0.00034
K2-39 b,K2-39,1,22h33m28.37s,338.3682095,-09d01m22.59s,-9.0229405,307.47,4.656,-4.656,10.5959,0.000521,-0.000521
K2-390 b,K2-390,1,23h42m48.57s,355.702386,-09d35m19.36s,-9.5887124,456.122,5.675,-5.54,13.3434,0.000312,-0.000312
K2-391 b,K2-391,1,23h44m54.24s,356.2260152,-07d42m05.45s,-7.7015151,507.94,16.546,-15.55,12.3302,0.000211,-0.000211
K2-392 b,K2-392,1,23h38m35.98s,354.6499065,-07d28m43.97s,-7.4788816,406.985,10.589,-10.074,12.6795,0.000359,-0.000359
K2-393 b,K2-393,1,23h14m03.82s,348.5159113,-00d04m55.57s,-0.0821031,265.914,2.842,-2.784,11.7768,0.000287,-0.000287
K2-394 b,K2-394,1,04h44m26.40s,71.110002,+16d31m06.89s,16.5185817,98.0152,0.4794,-0.4748,12.2095,0.000273,-0.000273
K2-395 b,K2-395,1,04h41m46.53s,70.4438684,+16d40m27.63s,16.6743415,286.727,3.103,-3.038,14.1559,0.000191,-0.000191
K2-395 c,K2-395,1,04h41m46.53s,70.4438684,+16d40m27.63s,16.6743415,286.727,3.103,-3.038,14.1559,0.000191,-0.000191
K2-396 b,K2-396,1,04h58m46.29s,74.6928607,+17d16m08.60s,17.2690562,274.864,2.884,-2.825,12.9345,0.000339,-0.000339
K2-396 c,K2-396,1,04h58m46.29s,74.6928607,+17d16m08.60s,17.2690562,274.864,2.884,-2.825,12.9345,0.000339,-0.000339
K2-397 b,K2-397,1,05h19m48.40s,79.9516586,+21d15m32.98s,21.2591617,199.354,1.598,-1.574,11.6421,0.000365,-0.000365
K2-398 b,K2-398,1,10h46m56.39s,161.7349738,+01d56m12.14s,1.9367044,606.992,13.07,-12.539,13.0091,0.000439,-0.000439
K2-398 c,K2-398,1,10h46m56.39s,161.7349738,+01d56m12.14s,1.9367044,606.992,13.07,-12.539,13.0091,0.000439,-0.000439
K2-4 b,K2-4,1,11h38m58.93s,174.7455392,-03d54m20.07s,-3.9055746,231.828,2.129,-2.091,14.3403,0.000425,-0.000425
K2-400 b,K2-400,1,10h18m02.65s,154.5110307,+03d41m48.94s,3.6969271,62.3804,0.2344,-0.2327,13.9899,0.00049,-0.00049
K2-401 b,K2-401,1,10h19m57.02s,154.987604,+03d57m17.38s,3.9548275,200.727,1.54,-1.517,13.6941,0.000383,-0.000383
K2-402 b,K2-402,1,10h45m48.46s,161.451913,+06d25m09.54s,6.419318,523.055,17.949,-16.816,12.836,0.000362,-0.000362
K2-403 b,K2-403,1,10h56m45.45s,164.1893864,+09d40m26.21s,9.6739464,246.599,2.561,-2.509,12.152,0.000271,-0.000271
K2-404 b,K2-404,1,10h41m17.99s,160.3249517,+12d11m28.01s,12.1911149,121.63,0.5795,-0.5795,13.8429,0.000414,-0.000414
K2-405 b,K2-405,1,10h57m30.24s,164.3759959,+12d32m08.21s,12.535614,197.234,2.081,-2.038,12.5911,0.000428,-0.000428
K2-406 b,K2-406,1,15h23m32.93s,230.8872242,-25d22m14.21s,-25.3706149,85.3751,0.6239,-0.6151,9.49379,0.000266,-0.000266
K2-407 b,K2-407,1,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.376,1.676,-1.651,11.9956,0.000252,-0.000252
K2-407 c,K2-407,1,15h30m13.26s,232.5552584,-23d00m24.25s,-23.0067371,218.376,1.676,-1.651,11.9956,0.000252,-0.000252
K2-408 b,K2-408,1,15h11m40.05s,227.9168555,-17d41m03.37s,-17.6842698,162.306,1.351,-1.329,11.7345,0.000364,-0.000364
K2-409 b,K2-409,1,15h13m49.23s,228.4551125,-16d21m04.67s,-16.3512966,431.031,8.048,-7.764,12.6144,0.000283,-0.000283
K2-411 b,K2-411,1,03h52m00.87s,58.003631,+19d23m27.56s,19.3909877,298.219,4.983,-4.825,11.9872,0.000161,-0.000161
K2-412 b,K2-412,1,05h05m02.91s,76.2621295,+21d34m48.58s,21.580162,654.085,18.368,-17.408,15.1491,0.000464,-0.000464
K2-413 b,K2-413,1,23h33m40.22s,353.4175668,-07d36m43.30s,-7.6120272,285.162,3.569,-3.483,14.5773,0.000434,-0.000434
K2-413 c,K2-413,1,23h33m40.22s,353.4175668,-07d36m43.30s,-7.6120272,285.162,3.569,-3.483,14.5773,0.000434,-0.000434
K2-414 b,K2-414,1,23h26m32.69s,351.6361913,-04d36m23.96s,-4.6066569,260.036,2.374,-2.333,13.9384,0.000406,-0.000406
K2-414 c,K2-414,1,23h26m32.69s,351.6361913,-04d36m23.96s,-4.6066569,260.036,2.374,-2.333,13.9384,0.000406,-0.000406
K2-415 b,K2-415,1,09h08m48.37s,137.2015437,+11d51m44.10s,11.8622503,21.8182,0.0307,-0.0307,13.7957,0.000374,-0.000374
K2-416 b,K2-416,1,23h16m53.08s,349.2211822,-05d12m05.41s,-5.2015032,120.311,0.605,-0.599,13.9468,0.000528,-0.000528
K2-417 b,K2-417,1,23h20m34.02s,350.1417675,-10d02m11.72s,-10.0365901,94.0424,0.3023,-0.3003,13.1533,0.00059,-0.00059
K2-419 A b,K2-419 A,2,09h00m04.68s,135.0194934,+13d16m25.34s,13.2737056,268.685,3.6615,-3.6615,15.7336,0.000486,-0.000486
K2-42 b,K2-42,1,11h46m39.78s,176.6657559,-05d10m19.37s,-5.1720463,396.913,7.94,-7.64,14.6336,0.00028,-0.00028
K2-43 b,K2-43,1,11h16m28.09s,169.117028,-03d58m31.59s,-3.9754405,182.536,1.9095,-1.9095,14.8215,0.000914,-0.000914
K2-43 c,K2-43,1,11h16m28.09s,169.117028,-03d58m31.59s,-3.9754405,182.536,1.9095,-1.9095,14.8215,0.000914,-0.000914
K2-44 b,K2-44,1,11h36m02.80s,174.011661,-02d31m15.36s,-2.5209338,476.703,10.202,-9.791,12.0238,0.000293,-0.000293
K2-45 b,K2-45,1,11h18m31.86s,169.6327547,-01d46m26.61s,-1.7740582,495.317,10.777,-10.335,15.3442,0.000839,-0.000839
K2-46 b,K2-46,1,11h37m03.90s,174.2662454,-00d54m25.96s,-0.90721,449.237,10.663,-10.188,11.9153,0.000372,-0.000372
K2-47 b,K2-47,1,11h14m19.82s,168.5825696,+02d46m50.02s,2.7805614,349.881,5.2745,-5.2745,13.7404,0.000359,-0.000359
K2-48 b,K2-48,1,11h44m29.59s,176.1233077,+03d16m20.57s,3.2723812,313.764,2.856,-2.856,13.9677,0.000622,-0.000622
K2-49 b,K2-49,1,11h49m16.86s,177.3202331,+03d28m31.87s,3.4755183,457.125,10.223,-9.793,15.2444,0.000571,-0.000571
K2-5 b,K2-5,1,11h17m12.83s,169.3034598,-01d52m40.17s,-1.8778254,202.943,1.665,-1.639,14.339,0.000499,-0.000499
K2-5 c,K2-5,1,11h17m12.83s,169.3034598,-01d52m40.17s,-1.8778254,202.943,1.665,-1.639,14.339,0.000499,-0.000499
K2-50 b,K2-50,1,11h17m56.08s,169.483654,+05d59m17.84s,5.988289,257.443,3.239,-3.239,14.2575,0.000513,-0.000513
K2-52 b,K2-52,1,16h26m26.74s,246.6114157,-24d58m11.81s,-24.9699462,1038.41,71.37,-62.873,15.2553,0.000376,-0.000376
K2-53 b,K2-53,1,16h16m34.07s,244.1419684,-20d24m02.15s,-20.4005984,138.018,1.14,-1.121,12.1478,0.000254,-0.000254
K2-54 b,K2-54,1,22h32m13.00s,338.0541631,-17d32m38.63s,-17.5440636,174.955,1.0145,-1.0145,13.9449,0.000502,-0.000502
K2-55 b,K2-55,1,22h15m00.45s,333.7518786,-17d15m02.88s,-17.2508002,159.522,0.73,-0.725,13.0624,0.000386,-0.000386
K2-57 b,K2-57,1,22h50m46.04s,342.6918241,-14d04m12.00s,-14.0700007,264.213,2.06,-2.029,14.1038,0.000494,-0.000494
K2-58 b,K2-58,1,22h15m17.24s,333.8218395,-14d02m59.49s,-14.049857,181.746,1.435,-1.413,12.1319,0.000424,-0.000424
K2-58 c,K2-58,1,22h15m17.24s,333.8218395,-14d02m59.49s,-14.049857,181.746,1.435,-1.413,12.1319,0.000424,-0.000424
K2-58 d,K2-58,1,22h15m17.24s,333.8218395,-14d02m59.49s,-14.049857,181.746,1.435,-1.413,12.1319,0.000424,-0.000424
K2-59 b,K2-59,1,22h35m46.21s,338.94255,-14d01m39.82s,-14.027727,311.313,3.544,-3.467,13.9395,0.00033,-0.00033
K2-59 c,K2-59,1,22h35m46.21s,338.94255,-14d01m39.82s,-14.027727,311.313,3.544,-3.467,13.9395,0.00033,-0.00033
K2-6 b,K2-6,1,11h52m46.11s,178.1921152,-01d11m54.39s,-1.1984418,316.819,6.458,-6.21,12.5018,0.000181,-0.000181
K2-60 b,K2-60,1,22h34m25.50s,338.6062312,-13d43m54.50s,-13.7318044,491.87,11.47,-10.969,12.6108,0.000314,-0.000314
K2-61 b,K2-61,1,22h38m41.96s,339.6748444,-13d33m36.16s,-13.5600447,405.732,8.413,-8.083,12.8575,0.000404,-0.000404
K2-62 b,K2-62,1,22h17m27.48s,334.3645089,-12d11m14.92s,-12.1874776,112.467,0.491,-0.487,12.0433,0.000247,-0.000247
K2-62 c,K2-62,1,22h17m27.48s,334.3645089,-12d11m14.92s,-12.1874776,112.467,0.491,-0.487,12.0433,0.000247,-0.000247
K2-63 b,K2-63,1,22h13m42.43s,333.4267738,-12d03m58.83s,-12.0663429,517.534,22.291,-20.551,12.7269,0.000262,-0.000262
K2-63 c,K2-63,1,22h13m42.43s,333.4267738,-12d03m58.83s,-12.0663429,517.534,22.291,-20.551,12.7269,0.000262,-0.000262
K2-64 b,K2-64,1,22h09m39.32s,332.4138478,-11d25m43.21s,-11.4286687,499.891,12.979,-12.348,13.9146,0.000321,-0.000321
K2-65 b,K2-65,1,22h12m51.00s,333.2125206,-10d55m34.09s,-10.9261373,72.2,12.83,-9.47,,,
K2-66 b,K2-66,1,22h06m06.40s,331.5266563,-10d42m41.53s,-10.7115362,513.877,24.123,-22.087,11.9961,0.000242,-0.000242
K2-68 b,K2-68,1,22h16m04.69s,334.0195539,-10d34m02.51s,-10.5673649,168.652,1.258,-1.24,12.6573,0.000478,-0.000478
K2-69 b,K2-69,1,22h23m02.32s,335.7596816,-10d29m19.25s,-10.4886817,180.697,1.583,-1.556,15.0572,0.000618,-0.000618
K2-7 b,K2-7,1,11h08m22.50s,167.0937488,-01d03m57.08s,-1.065855,738.553,15.745,-15.113,13.0573,0.000345,-0.000345
K2-70 b,K2-70,1,22h33m54.22s,338.4759328,-10d05m05.97s,-10.0849917,232.964,3.509,-3.408,12.7782,0.000395,-0.000395
K2-71 b,K2-71,1,22h46m53.97s,341.7248656,-09d52m53.80s,-9.8816109,153.192,1.23,-1.211,15.1887,0.000678,-0.000678
K2-72 b,K2-72,1,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,14.2789,0.000527,-0.000527
K2-72 c,K2-72,1,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,14.2789,0.000527,-0.000527
K2-72 d,K2-72,1,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,14.2789,0.000527,-0.000527
K2-72 e,K2-72,1,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,14.2789,0.000527,-0.000527
K2-73 b,K2-73,1,22h20m06.16s,335.025662,-09d03m21.92s,-9.0560881,269.183,2.539,-2.493,11.7146,0.000289,-0.000289
K2-74 b,K2-74,1,22h39m40.63s,339.9192984,-08d42m52.45s,-8.7145697,377.822,6.802,-6.57,12.4364,0.000305,-0.000305
K2-75 b,K2-75,1,22h35m22.78s,338.844896,-07d28m11.62s,-7.469895,561.93,15.381,-14.596,12.5886,0.000274,-0.000274
K2-75 c,K2-75,1,22h35m22.78s,338.844896,-07d28m11.62s,-7.469895,561.93,15.381,-14.596,12.5886,0.000274,-0.000274
K2-77 b,K2-77,1,03h40m54.85s,55.228521,+12d34m20.81s,12.572448,141.731,0.874,-0.863,11.9202,0.000644,-0.000644
K2-79 b,K2-79,1,03h41m01.42s,55.2559307,+13d31m09.07s,13.5191871,256.011,2.349,-2.307,11.8031,0.000328,-0.000328
K2-8 b,K2-8,1,11h19m10.44s,169.7935178,-00d17m03.98s,-0.2844389,403.513,11.6715,-11.6715,14.3358,0.000396,-0.000396
K2-8 c,K2-8,1,11h19m10.44s,169.7935178,-00d17m03.98s,-0.2844389,403.513,11.6715,-11.6715,14.3358,0.000396,-0.000396
K2-80 b,K2-80,1,03h56m09.00s,59.037486,+13d33m32.50s,13.5590288,200.802,1.768,-1.738,12.377,0.000158,-0.000158
K2-80 c,K2-80,1,03h56m09.00s,59.037486,+13d33m32.50s,13.5590288,200.802,1.768,-1.738,12.377,0.000158,-0.000158
K2-80 d,K2-80,1,03h56m09.00s,59.037486,+13d33m32.50s,13.5590288,200.802,1.768,-1.738,12.377,0.000158,-0.000158
K2-81 b,K2-81,1,03h49m56.51s,57.4854562,+14d30m07.40s,14.5020556,252.318,2.731,-2.673,13.9043,0.000209,-0.000209
K2-83 b,K2-83,1,03h59m36.33s,59.9013782,+15d33m31.68s,15.5587994,125.529,0.516,-0.512,13.8042,0.000341,-0.000341
K2-83 c,K2-83,1,03h59m36.33s,59.9013782,+15d33m31.68s,15.5587994,125.529,0.516,-0.512,13.8042,0.000341,-0.000341
K2-84 b,K2-84,1,03h43m14.25s,55.8093566,+16d38m03.98s,16.6344396,284.876,2.264,-2.229,13.1474,0.00029,-0.00029
K2-84 c,K2-84,1,03h43m14.25s,55.8093566,+16d38m03.98s,16.6344396,284.876,2.264,-2.229,13.1474,0.00029,-0.00029
K2-85 b,K2-85,1,03h57m51.56s,59.464829,+18d27m53.82s,18.4649505,97.2179,0.3824,-0.3794,12.06,0.000292,-0.000292
K2-86 b,K2-86,1,03h26m12.75s,51.5531053,+18d38m08.06s,18.6355718,258.699,3.004,-2.937,12.7978,0.000147,-0.000147
K2-87 b,K2-87,1,04h24m56.73s,66.2363638,+18d49m38.50s,18.8273617,491.242,7.054,-6.861,13.7078,0.000213,-0.000213
K2-88 b,K2-88,1,03h39m00.35s,54.7514566,+19d07m11.88s,19.1199667,110.561,0.828,-0.815,14.5451,0.000565,-0.000565
K2-89 b,K2-89,1,03h48m16.11s,57.0671234,+20d27m34.16s,20.4594885,86.0386,0.3114,-0.3093,13.3216,0.000371,-0.000371
K2-9 b,K2-9,1,11h45m03.29s,176.263724,+00d00m19.47s,0.0054085,82.9631,0.3747,-0.3714,14.8665,0.000584,-0.000584
K2-90 b,K2-90,1,03h56m36.66s,59.1527391,+22d28m20.83s,22.4724517,134.188,0.421,-0.419,13.2292,0.00024,-0.00024
K2-90 c,K2-90,1,03h56m36.66s,59.1527391,+22d28m20.83s,22.4724517,134.188,0.421,-0.419,13.2292,0.00024,-0.00024
K2-91 b,K2-91,1,04h12m52.38s,63.2182348,+24d12m17.00s,24.2047218,62.5785,0.2828,-0.2803,14.3219,0.000343,-0.000343
K2-95 b,K2-95,1,08h37m27.02s,129.3625717,+18d58m35.83s,18.9766197,179.854,4.044,-3.873,16.0836,0.00088,-0.00088
K2-97 b,K2-97,1,08h31m03.08s,127.762837,+10d50m51.21s,10.8475571,878.43,49.94,-49.94,12.3059,0.00022,-0.00022
K2-98 b,K2-98,1,08h25m57.17s,126.4882114,+11d30m39.94s,11.5110933,518.625,11.518,-11.037,12.0398,0.000196,-0.000196
K2-99 b,K2-99,1,13h55m05.70s,208.7737624,-05d26m32.98s,-5.4424943,519.229,12.998,-12.389,10.9485,0.000567,-0.000567
KELT-1 b,KELT-1,1,00h01m26.90s,0.3620995,+39d23m01.66s,39.3837953,268.43,3.057,-2.989,10.5905,0.000342,-0.000342
KELT-10 b,KELT-10,1,18h58m11.61s,284.5483823,-47d00m11.91s,-47.0033072,188.404,2.182,-2.132,10.7009,0.000366,-0.000366
KELT-11 b,KELT-11,1,10h46m49.66s,161.7069053,-09d23m57.71s,-9.3993646,99.1596,0.52105,-0.52105,7.83112,0.000371,-0.000371
KELT-12 b,KELT-12,1,17h50m33.72s,267.6404906,+36d34m12.63s,36.5701761,368.03,3.157,-3.106,10.4842,0.000409,-0.000409
KELT-14 b,KELT-14,1,07h13m12.34s,108.301409,-42d24m35.14s,-42.4097623,250.121,1.549,-1.529,10.8384,0.000302,-0.000302
KELT-15 b,KELT-15,2,07h49m39.59s,117.4149764,-52d07m13.61s,-52.1204471,324.683,2.479,-2.442,11.0694,0.000457,-0.000457
KELT-16 b,KELT-16,2,20h57m04.45s,314.2685227,+31d39m39.67s,31.6610186,444.586,5.574,-5.441,11.7959,0.000359,-0.000359
KELT-17 b,KELT-17,1,08h22m28.18s,125.617407,+13d44m07.11s,13.7353093,226.5,2.506,-2.453,9.20887,0.000348,-0.000348
KELT-18 b,KELT-18,2,14h26m05.72s,216.5238248,+59d26m39.38s,59.4442735,321.376,2.509,-2.47,10.1036,0.00034,-0.00034
KELT-19 A b,KELT-19 A,2,07h26m02.29s,111.5095293,+07d36m56.79s,7.6157759,300.276,4.684,-4.544,9.86331,0.001629,-0.001629
